item,allergens,serving_size,calories,protein,carbs,sodium
Apple,Vegan,182,63,0.3,16.8,1.2
Orange,Vegan,140,94,1.9,23.5,0
Banana,Vegan,136,108,1.3,27.6,1.2
Hawaiian Piiza,"Milk, Wheat, Soybean, Gluten",100,336.7,16.1,44.4,718.9
Manicotti with Tomato Sauce,"Milk, Eggs, Wheat, Soybeans, Gluten, Vegetarian",235,360,14.8,37.6,752.6
Grilled cheese,"Milk, Eggs, Wheat, Soybeans, Gluten, Sesame",120,622,19.1,76,952.1
Waffle,"Milk, Wheat, Soybean, Gluten",155,244,5.1,53.9,937
Cheese Breadsticks,"Milk, Eggs, Wheat, Soybeans, Gluten",28,94,4.6,12.9,290.4
Braised Chicken,None,30,33,6.6,0,98.7
Taco Meat,None,60,157,11.3,2.8,412.2
Cheese Pizza,"Milk, Wheat, SOybeans, Gluten",100,316.5,13.95,41.8,502.05
Cream of Potato & Leek Soup," Milk, Wheat, Soybeans, Gluten, vegetarian",170,141,2.8,15.8,97.4
Orange Pop Chicken,"Milk, Eggs, Wheat, Soybeans, Gluten",30,41,1.9,4.4,83.1
Spicy Orange Beef," Milk, Crustacean Shellfish, Wheat, Soybeans, Gluten, Sesame",120,162,10.9,10.5,566.3
Carved Turkey,None,120,173,27.4,8.9,2779.8
All Beef Hot Dog w/Cheese & Chili,"Milk, Fish, Wheat, Soybeans, Gluten, Sesame",49,492,16.3,38.8,1478.7
Gluten Free Baked Macaroni and Cheese,"Milk, Soybeans, vegetarian",120,266,11.3,18.2,406.9
Meatless Nuggets,"Wheat, Soybeans, Gluten, Vegan",75,264,15.8,26.4,487.9
Vegan Corn Dog," Wheat, Gluten, Vegan",78,140,6,24,480
Chocolate Mousse,"Tree Nuts, Soybeans, Vegan",120,241,1.4,29.5,212.6
"Bagel, Blueberry","Wheat, Soybeans, Gluten, Vegan",100,300,10,64,620
Ice Milk Soft Serve Vanilla,"Milk, vegetarian",120,148,3.5,22.7,104.6
